,byline,headline,open_date,pick_or_not,pub_date,rating,title,RT
546,GLENN KENNY,"Review: In ‘Trash Fire,’ a Familiar Formula Fails",2016-11-03,0,2016-11-03,R,Trash Fire,trash_fire
547,STEPHEN HOLDEN,Review: ‘Don’t Call Me Son’ Considers Identity and Fluidity,,1,2016-11-01,,Don’t Call Me Son,don’t_call_me_son
548,A. O. SCOTT,"Review: In ‘The Eagle Huntress,’ a Girl From Mongolia Soars",,1,2016-11-01,G,The Eagle Huntress,the_eagle_huntress
549,A. O. SCOTT,Review: ‘Hacksaw Ridge’ Has the Guts and the Glory. But Where’s the Gun?,2016-11-04,0,2016-11-01,R,Hacksaw Ridge,hacksaw_ridge
550,STEPHEN HOLDEN,"Review: Iggy Pop Bares All, and Nothing, in ‘Gimme Danger’",2016-10-28,1,2016-10-27,R,Gimme Danger,gimme_danger
551,MANOHLA DARGIS,"Review: ‘Into the Inferno,’ Staring Down the Terrors of Nature",,1,2016-10-27,,Into the Inferno,into_the_inferno
552,MANOHLA DARGIS,"Review: In ‘Inferno,’ Breathlessly Globe-Trotting and Decoding to Save the World",2016-10-28,0,2016-10-27,PG-13,Inferno,inferno
553,MANOHLA DARGIS,Review: ‘By Sidney Lumet’ Puts the Director in Front of the Camera,2016-10-07,0,2016-10-27,,By Sidney Lumet,by_sidney_lumet
554,NEIL GENZLINGER,Review: ‘A Billion Lives’ Claims There’s a Conspiracy Against Vaping,,0,2016-10-27,,A Billion Lives,a_billion_lives
555,JEANNETTE CATSOULIS,"Review: In ‘Crosscurrent,’ a Melancholy Journey Along the Yangtze",,0,2016-10-27,,Crosscurrent,crosscurrent
556,BEN KENIGSBERG,Review: ‘Finding Babel’ Retraces a Celebrated Grandfather’s Footsteps,,0,2016-10-27,,Finding Babel,finding_babel
557,ANDY WEBSTER,Review: ‘The Greasy Strangler’ Pairs Father and Son in Tours and Gore,,0,2016-10-27,Not Rated,The Greasy Strangler,the_greasy_strangler
558,ANDY WEBSTER,"Review: In ‘Mr. Donkey,’ a Village School’s Ruse Farcically Backfires",2016-10-28,0,2016-10-27,,Mr. Donkey,mr._donkey
559,KEN JAWOROWSKI,"Review: ‘Thank You for Your Service,’ Stories of Soldiers and Suicide",2016-09-16,0,2016-10-27,,Thank You for Your Service,thank_you_for_your_service
560,NEIL GENZLINGER,"Review: ‘The Unspoken’: If You Move Here, Find a Realtor Fast",2016-10-28,0,2016-10-27,,The Unspoken,the_unspoken
561,BEN KENIGSBERG,Review: Another Look at Donald Trump’s Scottish Dealings,,0,2016-10-27,Not Rated,You’ve Been Trumped Too,you’ve_been_trumped_too
562,GLENN KENNY,"Review: In ‘Supersonic,’ the Band Oasis and Its Combative Brothers",2016-10-26,1,2016-10-25,R,Supersonic,supersonic
563,STEPHEN HOLDEN,Review: 500 Years of Cultivation in ‘Portrait of a Garden’,,0,2016-10-25,,Portrait of a Garden,portrait_of_a_garden
564,GLENN KENNY,Review: ‘Boo! A Madea Halloween’ Finds Tyler Perry in the Usual Costume(s),2016-10-21,0,2016-10-21,PG-13,Boo! A Madea Halloween,boo_a_madea_halloween
565,A. O. SCOTT,‘Fire at Sea’ Is Not the Documentary You’d Expect About the Migrant Crisis. It’s Better.,,1,2016-10-20,,Fire at Sea,fire_at_sea
566,MANOHLA DARGIS,"Review: ‘The Handmaiden’ Explores Confinement in Rich, Erotic Textures",,1,2016-10-20,,The Handmaiden,the_handmaiden
567,MANOHLA DARGIS,"Review: In ‘Creepy,’ a Cold Case Turns Red Hot, but Don’t Tell the Neighbors",,1,2016-10-20,,Creepy,creepy
568,NEIL GENZLINGER,"Review: In ‘Ouija: Origin of Evil,’ a Youngster Who Nails ‘Creepy’",2016-10-21,1,2016-10-20,PG-13,Ouija: Origin of Evil,ouija_origin_of_evil
569,GLENN KENNY,Review: ‘A Stray’ and a Muslim in Search of Acceptance,,1,2016-10-20,,A Stray,a_stray
570,A. O. SCOTT,‘Moonlight’: Is This the Year’s Best Movie?,2016-10-21,1,2016-10-20,R,Moonlight,moonlight
571,MANOHLA DARGIS,Review: Tom Cruise Has a Familiar Furrow in ‘Jack Reacher: Never Go Back’,2016-10-21,0,2016-10-20,PG-13,Jack Reacher: Never Go Back,jack_reacher_never_go_back
572,STEPHEN HOLDEN,"Review: ‘American Pastoral,’ Philip Roth’s Fiery 1960s at Low Heat",2016-10-28,0,2016-10-20,R,American Pastoral,american_pastoral
573,JEANNETTE CATSOULIS,Review: Don’t Mess With the Dog in ‘In a Valley of Violence’,2016-10-21,0,2016-10-20,R,In a Valley of Violence,in_a_valley_of_violence
574,BEN KENIGSBERG,Review: ‘Keeping Up With the Joneses’ Might Not Be Worth It,2016-10-21,0,2016-10-20,PG-13,Keeping Up With The Joneses,keeping_up_with_the_joneses
575,STEPHEN HOLDEN,Review: It’s Pornographer vs. Pornographer in ‘King Cobra’,,0,2016-10-20,,King Cobra,king_cobra
576,NEIL GENZLINGER,Review: ‘It Had to Be You’ Is a Witty Rom-Com With a 1950s Feel,2016-10-21,0,2016-10-20,R,It Had To Be You,it_had_to_be_you
577,JEANNETTE CATSOULIS,Review: Rob Zombie’s ‘31’ Traffics in Gore and Bad Taste,,0,2016-10-20,R,31,31
578,KEN JAWOROWSKI,"Review: In ‘The Uncondemned,’ Rwandan Rape Survivors Seek Justice",2016-10-21,0,2016-10-20,,The Uncondemned,the_uncondemned
579,JEANNETTE CATSOULIS,"Review: ‘The Whole Truth,’ or a Slimmed-Down Version of It",,0,2016-10-20,R,The Whole Truth,the_whole_truth
580,NEIL GENZLINGER,"Review: In ‘Before the Flood,’ Leonardo DiCaprio Sounds the Climate-Change Alarm",2016-10-30,0,2016-10-20,,Before the Flood,before_the_flood
581,NEIL GENZLINGER,Review: ‘Michael Moore in TrumpLand’ Isn’t About Donald Trump,,0,2016-10-19,,Michael Moore in TrumpLand,michael_moore_in_trumpland
582,A. O. SCOTT,"Review: In ‘Aquarius,’ a Widow Fights to Keep Her Home",,1,2016-10-13,,Aquarius,aquarius
583,JEANNETTE CATSOULIS,"Review: In ‘Little Sister,’ an Aspiring Nun With a Love of Goth Visits Her Troubled Family",,1,2016-10-13,,Little Sister,little_sister
584,GLENN KENNY,"Review: In ‘Miss Hokusai,’ an Apprentice to the Artistic Life",2016-10-14,1,2016-10-13,PG-13,Miss Hokusai,miss_hokusai
585,GLENN KENNY,"Review: In ‘Kevin Hart: What Now?,’ a Stadium Brimming With Brash Stand-Up",2016-10-14,1,2016-10-13,R,Kevin Hart: What Now?,kevin_hart_what_now?
586,MANOHLA DARGIS,"Review: In ‘Christine,’ Why Did She Pull the Trigger? We Don’t Know",2016-10-14,0,2016-10-13,R,Christine,christine
587,A. O. SCOTT,Review: ‘Certain Women’ Are Worlds Unto Themselves,2016-10-14,0,2016-10-13,R,Certain Women,certain_women
588,ANDY WEBSTER,Review: ‘Coming Through the Rye’ Tracks Down J.D. Salinger,2016-10-14,0,2016-10-13,PG-13,Coming Through the Rye,coming_through_the_rye
589,BEN KENIGSBERG,Review: A Crooked Cop Is Caught Between 2 Brutal Masters in ‘Asura: The City of Madness’,2016-10-14,0,2016-10-13,,Asura: The City of Madness,asura_the_city_of_madness
590,HELEN T. VERONGOS,"Review: In ‘The David Dance,’ a Gay Man Sheds His Crippling Self-Doubt",,0,2016-10-13,,The David Dance,the_david_dance
591,NEIL GENZLINGER,Review: Stranded Migrants Are Easy Marks for a Madman in ‘Desierto’,2016-10-14,0,2016-10-13,R,Desierto,desierto
592,JEANNETTE CATSOULIS,Review: ‘Huntwatch’ Chronicles a Hard-Fought Battle to Protect Seals,2016-10-14,0,2016-10-13,,Huntwatch,huntwatch
593,ANDY WEBSTER,"Review: For ‘Jack Goes Home,’ Cue the Horror Soundtrack",2016-10-14,0,2016-10-13,R,Jack Goes Home,jack_goes_home
594,KEN JAWOROWSKI,"Review: ‘Maya Angelou: And Still I Rise,’ a Life Well Lived",2016-10-14,0,2016-10-13,,Maya Angelou: And Still I Rise,maya_angelou_and_still_i_rise
595,KEN JAWOROWSKI,Review: Fireworks in ‘Sky Ladder: The Art of Cai Guo-Qiang’,,0,2016-10-13,,Sky Ladder,sky_ladder
596,NEIL GENZLINGER,Review: ‘Ordinary World’ Puts Billie Joe Armstrong in the Bland Lane,,0,2016-10-13,,Ordinary World,ordinary_world
597,STEPHEN HOLDEN,"Review: In ‘The Accountant,’ Ben Affleck Plays a Savant With a Dark Secret",2016-10-14,0,2016-10-13,R,The Accountant,the_accountant
598,STEPHEN HOLDEN,Review: ‘Mascots’ Suffers From Mockumentary Fatigue Syndrome,,0,2016-10-12,,Mascots,mascots
599,MANOHLA DARGIS,"Review: ‘Tower,’ About 1966, Before Mass Shootings Became Routine",,1,2016-10-11,,Tower,tower
600,NEIL GENZLINGER,"Review: ‘Godzilla’ Returns, Again, With a Wink",2016-10-11,0,2016-10-10,,Shin Godzilla,shin_godzilla
601,ANDY WEBSTER,"Review: ‘Middle School,’ Where the Principal Is Mean and the Pranks Messy",2016-10-07,0,2016-10-07,PG,Middle School,middle_school
602,NEIL GENZLINGER,"Review: In ‘Newtown,’ Understated Eloquence but No Peace",,1,2016-10-06,,Newtown,newtown
603,GLENN KENNY,"Review: In ‘Theo Who Lived,’ a Journalist Tells of His Capture by Al Qaeda",2016-09-30,1,2016-10-06,,Theo Who Lived,theo_who_lived
604,STEPHEN HOLDEN,"Review: In ‘Being 17,’ 2 Boys Teeter Between Animosity and Attraction",,1,2016-10-06,Not Rated,Being 17,being_17
605,MANOHLA DARGIS,Review: An Undetonated Missile and Evil Spirits Lurk in ‘Under the Shadow’,2016-10-07,0,2016-10-06,PG-13,Under the Shadow,under_the_shadow
606,A. O. SCOTT,"Review: ‘Voyage of Time,’ the Cosmology of Terrence Malick (the Short Version)",2016-10-07,0,2016-10-06,G,Voyage of Time,voyage_of_time
607,STEPHEN HOLDEN,"Review: In ‘Blue Jay,’ Returning to Romantic Roads Not Taken",,0,2016-10-06,,Blue Jay,blue_jay
608,KEN JAWOROWSKI,"Review: In ‘Mirzya,’ Echoes of ‘Romeo and Juliet,’ Lushly Shot",2016-10-07,0,2016-10-06,,Mirzya,mirzya
609,JEANNETTE CATSOULIS,"Review: In Henry Jaglom’s ‘Ovation,’ the Action Is Backstage",,0,2016-10-06,R,Ovation,ovation
610,ANDY WEBSTER,"Review: ‘37,’ a Fictional Retelling of the Kitty Genovese Story",2016-10-07,0,2016-10-06,,37,37
611,NEIL GENZLINGER,"Review: ‘The Great Gilly Hopkins,’ a Child’s Story Elevated by Grown-Ups",2016-10-07,0,2016-10-06,PG,The Great Gilly Hopkins,the_great_gilly_hopkins
612,NEIL GENZLINGER,"Review: ‘The Late Bloomer,’ About a Sex Therapist Who Missed Puberty",2016-10-07,0,2016-10-06,R,The Late Bloomer,the_late_bloomer
613,JEANNETTE CATSOULIS,Review: Growing Up Fast in ‘London Town’ Amid Punk and Thatcherism,,0,2016-10-06,,London Town,london_town
614,A. O. SCOTT,"Review: In Nate Parker’s ‘The Birth of a Nation,’ Must-See and Won’t-See Collide",2016-10-07,0,2016-10-06,R,The Birth of a Nation,the_birth_of_a_nation
615,MANOHLA DARGIS,"Review: In ‘The Girl on the Train,’ a Boozy Emily Blunt Never Winks",2016-10-07,0,2016-10-05,R,The Girl on the Train,the_girl_on_the_train
616,GLENN KENNY,Review: ‘Homeland: Iraq Year Zero’ Chronicles a War-Torn Family,2016-10-06,1,2016-10-04,,Homeland: Iraq Year Zero,homeland_iraq_year_zero
617,RACHEL SALTZ,Review: ‘M.S. Dhoni: The Untold Story’ Recalls a Cricketer’s Ascent,2016-09-30,0,2016-10-02,,M.S. Dhoni: The Untold Story,m.s._dhoni_the_untold_story
618,MANOHLA DARGIS,"Review: ‘13TH,’ the Journey From Shackles to Prison Bars",,1,2016-09-29,,13TH,13th
619,MANOHLA DARGIS,"Review: In ‘Miss Peregrine’s Home,’ Chasing Grandpa’s Stories Down a Rabbit Hole",2016-09-30,1,2016-09-29,PG-13,Miss Peregrine’s Home for Peculiar Children,miss_peregrine’s_home_for_peculiar_children
620,HELEN T. VERONGOS,Review: ‘Harry & Snowman’ Recalls a Man and a Horse of Powerful Haunches,2016-09-30,1,2016-09-29,,Harry & Snowman,harry_and_snowman
621,JEANNETTE CATSOULIS,"Review: In ‘Amanda Knox,’ a Murder and Journalism Run Amok",2016-09-30,1,2016-09-29,,Amanda Knox,amanda_knox
622,A. O. SCOTT,Review: Youthful Recklessness Finds Adventure on the Road in ‘American Honey’,2016-09-30,1,2016-09-29,R,American Honey,american_honey
623,STEPHEN HOLDEN,"Review: In ‘Girl Asleep,’ Floating Through a Teenage Fantasia",,0,2016-09-29,,Girl Asleep,girl_asleep
624,STEPHEN HOLDEN,"Review: In ‘Denial,’ Confronting a Holocaust Revisionist in Court",2016-09-30,0,2016-09-29,PG-13,Denial,denial
625,KEN JAWOROWSKI,"Review: In ‘Among the Believers,’ a Cleric Holds Sway",2015-12-11,0,2016-09-29,,Among the Believers,among_the_believers
626,BEN KENIGSBERG,"Review: ‘Danny Says,’ a Paean to a Rock Gadfly and Tastemaker",,0,2016-09-29,,Danny Says,danny_says
627,NEIL GENZLINGER,"Review: ‘Do Not Resist,’ or When a Police Force Becomes an Army",,0,2016-09-29,,Do Not Resist,do_not_resist
628,NEIL GENZLINGER,Review: The Animated ‘Long Way North’ Finds a Girl on a Journey,2016-09-30,0,2016-09-29,PG,Long Way North,long_way_north
629,GLENN KENNY,"Review: In ‘A Man Called Ove,’ Don’t Let That Scowl Fool You",2016-09-30,0,2016-09-29,PG-13,A Man Called Ove,a_man_called_ove
630,DANIEL M. GOLD,"Review: ‘The Rolling Stones Olé, Olé, Olé!’ Captures Tour Euphoria in Latin America",,0,2016-09-29,,"The Rolling Stones Olé, Olé, Olé",the_rolling_stones_olé_olé_olé
631,GLENN KENNY,"Review: ‘Masterminds,’ a Tale of Grand Larceny and Meager Gray Matter",2016-09-30,0,2016-09-29,PG-13,Masterminds,masterminds
632,DANIEL M. GOLD,"Review: ‘Never Surrender: The Ed Ramsey Story,’ an Overdue Paean to a War Hero",,0,2016-09-29,,Never Surrender: The Ed Ramsey Story,never_surrender_the_ed_ramsey_story
633,KEN JAWOROWSKI,"Review: ‘Passage to Mars,’ an Otherworldly Voyage on Earth",2016-09-30,0,2016-09-29,,Passage to Mars,passage_to_mars
634,A. O. SCOTT,"Review: In ‘Deepwater Horizon,’ Oil, Fire and Greed",2016-09-30,0,2016-09-29,PG-13,Deepwater Horizon,deepwater_horizon
635,GLENN KENNY,"Review: In ‘Tharlo,’ a Shepherd’s Life Upended by a Trip to the City",,0,2016-09-27,,Tharlo,tharlo
636,MANOHLA DARGIS,Review: ‘Sand Storm’ Follows a Bedouin Mother and Daughter in Quiet Revolts,,0,2016-09-27,,Sand Storm,sand_storm
637,HELEN T. VERONGOS,"Review: ‘Chicken People,’ Pampering Royalty That Clucks",2016-09-23,1,2016-09-22,,Chicken People,chicken_people
638,STEPHEN HOLDEN,Review: An Unflinching Portrayal of Impending Mortality in ‘Chronic’,,1,2016-09-22,R,Chronic,chronic
639,KEN JAWOROWSKI,"Review: In ‘Closet Monster,’ a Teenager’s Self-Discovery Is Tinged With Danger",,1,2016-09-22,,Closet Monster,closet_monster
640,GLENN KENNY,Review: ‘The Jazz Loft According to W. Eugene Smith’,,1,2016-09-22,,The Jazz Loft According to W. Eugene Smith,the_jazz_loft_according_to_w._eugene_smith
641,A. O. SCOTT,"Review: In ‘Queen of Katwe,’ a Pawn Finds Her Crown Through Chess",2016-09-30,1,2016-09-22,PG,Queen of Katwe,queen_of_katwe
642,BEN KENIGSBERG,"Review: ‘Audrie & Daisy,’ on Sexual Assault and Technology",,0,2016-09-22,,Audrie & Daisy,audrie_and_daisy
643,KEN JAWOROWSKI,"Review: In ‘The Age of Shadows,’ Plot’s Fine, but Action’s Better",,0,2016-09-22,,The Age of Shadows,the_age_of_shadows
644,MANOHLA DARGIS,"Review: In ‘The Lovers and the Despot,’ a Harrowing Korean Ordeal",2016-09-23,0,2016-09-22,,The Lovers and the Despot,the_lovers_and_the_despot
645,STEPHEN HOLDEN,"Review: In ‘The Free World,’ Being Free Isn’t All It’s Cracked Up to Be",,0,2016-09-22,R,The Free World,the_free_world
646,GLENN KENNY,"Review: In ‘Goat,’ Frat Brothers Unleash Their Sadistic Terror",2016-09-23,0,2016-09-22,R,Goat,goat
647,NEIL GENZLINGER,"Review: In ‘I.T.,’ Smart House, Dumb Owner",2016-09-23,0,2016-09-22,,I.T.,i.t.
648,BEN KENIGSBERG,"Review: ‘My Blind Brother,’ Who Is Also a Major Pain",2016-09-19,0,2016-09-22,R,My Blind Brother,my_blind_brother
649,HELEN T. VERONGOS,"Review: ‘1000 Rupee Note,’ a Poor Widow’s Blessing and Curse",2016-09-23,0,2016-09-22,,1000 Rupee Note,1000_rupee_note
650,DANIEL M. GOLD,"Review: In ‘The Ruins of Lifta,’ a Dispute Amid the Rubble",2016-09-23,0,2016-09-22,,The Ruins of Lifta,the_ruins_of_lifta
651,NEIL GENZLINGER,"Review: In ‘Seed: The Untold Story,’ It’s Farmers Versus Big Business",2016-09-23,0,2016-09-22,,Seed: The Untold Story,seed_the_untold_story
652,A. O. SCOTT,"Review: In ‘The Dressmaker,’ a Femme Fatale Wants Vengeance",2016-09-23,0,2016-09-22,R,The Dressmaker,the_dressmaker
653,NEIL GENZLINGER,"Review: ‘Storks,’ an Uneasy Return to Delivering Babies",2016-09-23,0,2016-09-22,PG,Storks,storks
654,MANOHLA DARGIS,Review: Denzel Washington Rides High in ‘The Magnificent Seven’,2016-09-23,0,2016-09-22,PG-13,The Magnificent Seven,the_magnificent_seven
655,GLENN KENNY,Review: A Rough Cut of ‘The Thief and the Cobbler’ Makes It to MoMA,1995-08-25,1,2016-09-21,G,The Thief and the Cobbler,the_thief_and_the_cobbler
656,JEANNETTE CATSOULIS,"Review: ‘Operation Avalanche,’ a Tale of Film Nerds on a Kubrick Caper",2016-09-16,1,2016-09-15,R,Operation Avalanche,operation_avalanche
657,STEPHEN HOLDEN,"Review: In ‘Miss Stevens,’ a Chaperone Greets Temptation",,1,2016-09-15,,Miss Stevens,miss_stevens
658,GIA KOURLAS,Review: Bad Boy of the Royal Ballet Regains His Footing in ‘Dancer’,,0,2016-09-15,,Dancer,dancer
659,A. O. SCOTT,Review: ‘Blair Witch’: Don’t Go Back Into the Woods,2016-09-16,0,2016-09-15,R,Blair Witch,blair_witch
660,BEN KENIGSBERG,"Review: In ‘Southwest of Salem,’ 4 Women Convicted of Sexual Assault Fight for Justice",2016-09-16,0,2016-09-15,,Southwest of Salem,southwest_of_salem
661,ANDY WEBSTER,Review: ‘The Vessel’: Learning to Forge Ahead After Wrenching Loss,2016-09-16,0,2016-09-15,PG-13,The Vessel,the_vessel
662,NEIL GENZLINGER,Review: ‘The Beatles: Eight Days a Week’ Taking the World by Storm,2016-09-16,0,2016-09-15,,The Beatles: Eight Days a Week,the_beatles_eight_days_a_week
663,HELEN T. VERONGOS,Review: ‘Cardboard Boxer’: Homeless Man’s Redemption via a Diary,2016-09-16,0,2016-09-15,,Cardboard Boxer,cardboard_boxer
664,GLENN KENNY,"Review: ‘A Family Affair,’ or Airing Dirty Laundry",2016-09-19,0,2016-09-15,,A Family Affair,a_family_affair
665,ANDY WEBSTER,"Review: ‘Finding Altamira’: A Prehistoric Discovery, Vehemently Disputed",,0,2016-09-15,,Finding Altamira,finding_altamira
666,ANDY WEBSTER,"Review: In ‘Hillsong — Let Hope Rise,’ a Strumming Ministry Packs in Crowds",2016-09-16,0,2016-09-15,PG,Hillsong — Let Hope Rise,hillsong_—_let_hope_rise
667,NEIL GENZLINGER,Review: A Sex-or-Guns Comedy That Might Make Aristophanes Wince,2016-09-16,0,2016-09-15,R,Is That a Gun in Your Pocket?...,is_that_a_gun_in_your_pocket?
668,KEN JAWOROWSKI,Review: ‘Silicon Cowboys’ Tracks the Rise of Compaq Computer,2016-09-16,0,2016-09-15,,Silicon Cowboys,silicon_cowboys
669,GLENN KENNY,"Review: In ‘Tanna,’ Lovers Are Torn Apart to Keep Tribal Peace",,0,2016-09-15,,Tanna,tanna
670,A. O. SCOTT,"Review: ‘Snowden,’ Oliver Stone’s Restrained Portrait of a Whistle-Blower",2016-09-16,0,2016-09-15,R,Snowden,snowden
671,STEPHEN HOLDEN,Review: A Zany Renée Zellweger and Mystery Daddy in ‘Bridget Jones’s Baby’,2016-09-16,0,2016-09-14,R,Bridget Jones's Baby,bridget_joness_baby
672,NEIL GENZLINGER,"Review: ‘Command and Control’: Common Errors, Nuclear Arms and Consequences",,1,2016-09-13,,Command and Control,command_and_control
673,NEIL GENZLINGER,"Review: ‘When the Bough Breaks,’ Blame a Scary Pregnancy Surrogate",2016-09-09,0,2016-09-09,PG-13,When the Bough Breaks,when_the_bough_breaks
674,STEPHEN HOLDEN,"Review: In ‘Kicks,’ the Promise (and Perils) of Those Air Jordans",2016-09-09,1,2016-09-08,R,Kicks,kicks
675,MANOHLA DARGIS,"Review: In ‘Demon,’ Wedding Jitters From the Uninvited Dead",2016-09-09,1,2016-09-08,R,Demon,demon
676,STEPHEN HOLDEN,"Review: In ‘As I Open My Eyes,’ Feeling a Revolution Coming",2016-09-09,1,2016-09-08,,As I Open My Eyes,as_i_open_my_eyes
677,A. O. SCOTT,"Review: In ‘Cameraperson,’ a Found Poem Filtered Through an Intent Eye",,1,2016-09-08,,Cameraperson,cameraperson
678,JEANNETTE CATSOULIS,Review: 5 Murdered Prostitutes and an Anxious City in ‘London Road’,,1,2016-09-08,,London Road,london_road
679,MANOHLA DARGIS,Review: Sully Landed the Plane. Then He Had to Endure the Spotlight.,2016-09-09,1,2016-09-08,PG-13,Sully,sully
680,DANIEL M. GOLD,Review: ‘Starving the Beast’ Traces the Burdens of Higher Education Defunding,2016-09-02,1,2016-09-08,Not Rated,Starving the Beast,starving_the_beast
681,KEN JAWOROWSKI,Review: ‘Defying the Nazis’: An American Couple on a Rescue Mission,2016-09-20,0,2016-09-08,,Defying the Nazis,defying_the_nazis
682,A. O. SCOTT,Review: ‘Author: The JT Leroy Story’ Renders a Literary Charlatan,2016-09-09,0,2016-09-08,R,Author: The JT Leroy Story,author_the_jt_leroy_story
683,NEIL GENZLINGER,Review: ‘Brother Nature’: Fish Out of Water With the Future In-Laws,2016-09-09,0,2016-09-08,R,Brother Nature,brother_nature
684,NEIL GENZLINGER,"Review: In ‘Ithaca,’ Meg Ryan and Tom Hanks Reunite for a War Story",,0,2016-09-08,PG,Ithaca,ithaca
685,ANDY WEBSTER,"Review: ‘For the Love of Spock,’ a Son’s Tribute to Leonard Nimoy",,0,2016-09-08,,For the Love of Spock,for_the_love_of_spock
686,HELEN T. VERONGOS,"Review: In ‘The Wild Life,’ Island Critters School a Castaway",2016-09-09,0,2016-09-08,PG,The Wild Life,the_wild_life
687,JEANNETTE CATSOULIS,"Review: ‘Transpecos’: At a Dusty Border, a Trek Along a Moral Tightrope",,0,2016-09-08,,Transpecos,transpecos
688,DANIEL M. GOLD,"Review: In ‘Other People,’ a Son’s Anxieties Mount as Tragedy Looms",2016-09-09,0,2016-09-08,,Other People,other_people
689,KEN JAWOROWSKI,"Review: In ‘Landfill Harmonic,’ One Person’s Trash Is a Child’s Violin",,0,2016-09-08,,Landfill Harmonic,landfill_harmonic
690,GLENN KENNY,"Review: ‘Come What May,’ an Ode to French Villagers Displaced by War",2016-09-09,0,2016-09-08,R,Come What May,come_what_may
691,ANDY WEBSTER,Review: ‘The Apostate’ Chronicles a Rebellious Catholic,,0,2016-09-08,,The Apostate,the_apostate
692,HELEN T. VERONGOS,Review: ‘Equal Means Equal’ Asks How Far Women Have Really Come,2016-09-02,1,2016-09-01,,Equal Means Equal,equal_means_equal
693,STEPHEN HOLDEN,"Review: ‘White Girl,’ a Tale of Cocaine, Sex and Privilege",2016-09-02,1,2016-09-01,,White Girl,white_girl
694,NEIL GENZLINGER,"Review: In ‘Zoom,’ Everyone Feels Certain Body Parts Are Too Small",2016-09-02,1,2016-09-01,,Zoom,zoom
695,STEPHEN HOLDEN,Review: A Baby in a Boat Changes Everything in ‘The Light Between Oceans’,2016-09-02,1,2016-09-01,PG-13,The Light Between Oceans,the_light_between_oceans
696,KEN JAWOROWSKI,"Review: ‘Antibirth’ Invites the Question, Is This Your Adult-Size Infant?",,0,2016-09-01,,Antibirth,antibirth
697,KEN JAWOROWSKI,"Review: Look, Yes, but Listening Is the Key to ‘The Academy of Muses’",,0,2016-09-01,,The Academy of Muses,the_academy_of_muses
698,JEANNETTE CATSOULIS,Review: ‘Max Rose’ Has Jerry Lewis Tearful Over a Hint of Infidelity,2016-09-02,0,2016-09-01,,Max Rose,max_rose
699,GLENN KENNY,"Review: In Kevin Smith’s ‘Yoga Hosers,’ Enlightenment Is Elusive",2016-09-02,0,2016-09-01,PG-13,Yoga Hosers,yoga_hosers
700,NEIL GENZLINGER,"Review: ‘The 9th Life of Louis Drax.’ So, Little Boys Get Nine Lives, Too?",2016-09-02,0,2016-09-01,R,The 9th Life of Louis Drax,the_9th_life_of_louis_drax
701,NEIL GENZLINGER,"Review: Jokes, Not Punches, Land With a Thud in ‘Skiptrace’",2016-09-02,0,2016-09-01,PG-13,Skiptrace,skiptrace
702,ANDY WEBSTER,"Review: In ‘Kickboxer: Vengeance,’ Duty Calls for an Unpracticed Fighter",2016-09-02,0,2016-09-01,,Kickboxer: Vengeance,kickboxer_vengeance
703,JEANNETTE CATSOULIS,"Review: In ‘Morgan,’ a Snow White With Lips Stained Red",0000-00-00,0,2016-09-01,,Morgan,morgan
704,GLENN KENNY,Review: ‘The Seasons in Quincy: Four Portraits of John Berger’ Lauds a Renaissance Man,2016-08-31,1,2016-08-30,,The Seasons in Quincy: Four Portraits of John Berger,the_seasons_in_quincy_four_portraits_of_john_berger
705,ANDY WEBSTER,"Review: Jason Statham in ‘Mechanic: Resurrection,’ a Hit Man on Cruise Control",2016-08-26,0,2016-08-26,R,Mechanic: Resurrection,mechanic_resurrection
706,MANOHLA DARGIS,‘Mia Madre’ Review: Mom’s in the Hospital. The Riot Scene Needs Retakes.,2016-08-26,1,2016-08-25,R,Mia Madre,mia_madre
707,STEPHEN HOLDEN,"Review: In ‘Fatima,’ a Muslim Mother Working in France Hits Her Limit",,1,2016-08-25,,Fatima,fatima
708,NEIL GENZLINGER,Review: ‘In Order of Disappearance’ Emits a Dash of ‘Fargo’,2016-08-26,1,2016-08-25,R,In Order of Disappearance,in_order_of_disappearance
709,GLENN KENNY,Review: ‘Hands of Stone’ Returns Robert De Niro to the Ring but Pulls Its Punches,2016-08-26,0,2016-08-25,R,Hands of Stone,hands_of_stone
710,MANOHLA DARGIS,"Review: In ‘Blood Father,’ Mel Gibson Plays With Pulp Fiction",2016-08-12,0,2016-08-25,R,Blood Father,blood_father
711,ANITA GATES,Review: ‘Don’t Breathe’: Whose Bright Idea Was It to Rob a Blind Man?,2016-08-26,0,2016-08-25,R,Don’t Breathe,don’t_breathe
712,ANDY WEBSTER,Review: Rachel Weisz Toys With Identity in ‘Complete Unknown’,2016-08-26,0,2016-08-25,R,Complete Unknown,complete_unknown
713,BEN KENIGSBERG,"Review: ‘Dying to Know’ How to Turn on, Tune in, Drop Out",,0,2016-08-25,,Dying to Know,dying_to_know
714,KEN JAWOROWSKI,Review: ‘Floyd Norman: An Animated Life’: He Broke Barriers at Disney,2016-08-26,0,2016-08-25,,Floyd Norman: An Animated Life,floyd_norman_an_animated_life
715,DANIEL M. GOLD,"Review: ‘I Am Not a Serial Killer,’ but Somebody Is",,0,2016-08-25,,I Am Not a Serial Killer,i_am_not_a_serial_killer
