,byline,headline,open_date,pick_or_not,pub_date,rating,title,RT
127,BEN KENIGSBERG,‘The Professor’ Review: The Lessons He Learns Along the Way,2019-05-17,0,2019-05-16,R,The Professor,the_professor
128,AISHA HARRIS,‘Photograph’ Review: A Rom-Com Walks the Streets of Mumbai,2019-05-17,0,2019-05-16,PG-13,Photograph,photograph
129,JENNIFER SZALAI,"‘We Have Always Lived in the Castle’ Review: An Arch, Feminist Fairy Tale",2019-05-17,0,2019-05-16,,We Have Always Lived in the Castle,we_have_always_lived_in_the_castle
130,TEO BUGBEE,‘Aniara’ Review: A One-Way Ticket Into the Abyss,2019-05-17,0,2019-05-16,R,Aniara,aniara
131,JEANNETTE CATSOULIS,‘Perfect’ Review: Beyond Skin Deep,2019-05-17,0,2019-05-16,,Perfect,perfect
132,GLENN KENNY,‘A Dog’s Journey’ Review: Good Boys (and Girls) on a Mission,2019-05-17,0,2019-05-16,PG,A Dog's Journey,a_dogs_journey
133,A.O. SCOTT,‘The Wandering Soap Opera’ Review: An Excursion Into Raúl Ruiz’s Fertile Mind,2019-05-17,1,2019-05-15,,The Wandering Soap Opera,the_wandering_soap_opera
134,A.O. SCOTT,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",2019-05-17,0,2019-05-15,PG-13,The Sun Is Also a Star,the_sun_is_also_a_star
135,A.O. SCOTT,‘The Third Wife’ Review: Cruelty and Sensuality in 19th-Century Vietnam,2019-05-15,0,2019-05-14,R,The Third Wife,the_third_wife
136,HELEN T. VERONGOS,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,,0,2019-05-10,,Shéhérazade,shéhérazade
137,BILGE EBIRI,‘At the Heart of Gold’ Review: A Thorough Record of Sexual Abuse,2019-05-03,1,2019-05-09,,At the Heart of Gold: Inside the USA Gymnastics Scandal,at_the_heart_of_gold_inside_the_usa_gymnastics_scandal
138,MANOHLA DARGIS,‘Charlie Says’ Review: Complicating Those Manson Family Values,2019-05-17,1,2019-05-09,R,Charlie Says,charlie_says
139,TEO BUGBEE,‘The Serengeti Rules’ Review: Making Science Spellbinding,2018-04-30,1,2019-05-09,,Serengeti Rules,serengeti_rules
140,GLENN KENNY,‘The Biggest Little Farm’ Review: The Pleasures of D.I.Y. Agriculture,2019-05-10,1,2019-05-09,PG,The Biggest Little Farm,the_biggest_little_farm
141,A.O. SCOTT,‘Pasolini’ Review: One Rebellious Filmmaker’s Tribute to Another,2019-05-10,1,2019-05-09,,Pasolini,pasolini
142,JEANNETTE CATSOULIS,‘The River and the Wall’ Review: Taking a Side on the Rio Grande,2019-05-03,1,2019-05-09,,The River and the Wall,the_river_and_the_wall
143,JEANNETTE CATSOULIS,"‘All Is True’ Review: Regret Is the Thing, as Shakespeare Comes Home",2019-05-10,0,2019-05-09,PG-13,All Is True,all_is_true
144,A.O. SCOTT,‘The Hustle’ Review: Anne Hathaway and Rebel Wilson Hit Their Marks,2019-05-10,0,2019-05-09,PG-13,The Hustle,the_hustle
145,JEANNETTE CATSOULIS,‘POMS’ Review: Shake It Till You Make It,2019-05-10,0,2019-05-09,PG-13,Poms,poms
146,BEN KENIGSBERG,‘Pokémon Detective Pikachu’ Review: A Cat and (Electric) Mouse Game,2019-05-10,0,2019-05-09,PG,Pokémon Detective Pikachu,pokémon_detective_pikachu
147,JASON ZINOMAN,"‘David Cross: Oh, Come On’ Review: Muffled Anger Over Sentimentality",2019-04-01,0,2019-05-09,,David Cross: Oh Come On,david_cross_oh_come_on
148,GLENN KENNY,‘Tolkien’ Review: A Fellowship That Rings Obvious,2019-05-10,0,2019-05-09,PG-13,Tolkien,tolkien
149,BEN KENIGSBERG,"‘My Son’ Review: When His Boy Goes Missing, a Father Unravels",2019-04-12,0,2019-05-09,,My Son,my_son
150,MANOHLA DARGIS,‘Wine Country’ Review: Searching for Laughs in a Midlife Bacchanal,2019-05-10,0,2019-05-07,R,Wine Country,wine_country
151,BEN KENIGSBERG,‘The Silence of Others’ Review: Franco’s Victims Speak Out,2019-05-08,0,2019-05-07,,The Silence of Others,the_silence_of_others
152,MANOHLA DARGIS,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,2019-05-03,1,2019-05-02,R,Long Shot,long_shot
