,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related ,Results Related ,Intercept%,counts,geocode,lat,lng,freq
999,LOUISIANA MIDDLE,2017-69184,JACKSON,DOWNING,CONSPIRACY,"TX,WC",D,2017-06-23,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 39.4325541, 'lng': -91.073599}",39.432554100000004,-91.073599,27
1026,LOUISIANA WESTERN,2012-74850,"HICKS, JR.",BLANCO,NARCOTICS,WC,D,2012-08-14,30,0,30,INSTALLED AND USED,20,40,6,798,182,25465,625,4,0,0,0,0,0,,,22.81,,"{'lat': 32.4616114, 'lng': -93.72171420000001}",32.4616114,-93.7217142,7
1033,MAINE,2017-71267,LEVY,SWARTZ,GAMBLING,WC,D,2017-03-03,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 45.253783, 'lng': -69.4454689}",45.253783,-69.4454689,8
1041,MARYLAND,2013-74864,MOTZ,HULSER,NARCOTICS,TX,D,2012-12-05,30,1,60,INSTALLED AND USED,38,219,159,8338,2038,47431,235,0,0,0,0,0,0,,,24.44,,"{'lat': 39.0457549, 'lng': -76.64127119999999}",39.0457549,-76.64127119999998,42
1083,MASSACHUSETTS,2014-74905,YOUNG,BLANCO,NARCOTICS,WC,D,2014-09-29,30,1,60,INSTALLED AND USED,56,30,50,1662,770,57978,5950,0,0,0,0,0,0,,,46.33,,"{'lat': 42.4072107, 'lng': -71.3824374}",42.4072107,-71.3824374,76
1159,MICHIGAN EASTERN,2013-74994,ROBERTS,BLANCO,NARCOTICS,WC,D,2013-10-11,30,0,30,INSTALLED AND USED,22,0,0,0,0,29199,1875,0,0,0,0,0,0,,,,,"{'lat': 42.2506803, 'lng': -83.624089}",42.2506803,-83.624089,53
1212,MICHIGAN WESTERN,2018-77274,JONKER,HULSER,DRUGS - ILLEGAL,WC,D,2018-07-02,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 42.2837336, 'lng': -85.6102507}",42.2837336,-85.6102507,2
1214,MINNESOTA,2017-71865,ERICKSEN,HULSER,DRUGS - ILLEGAL,"TX,WC",D,2017-11-06,30,1,57,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 46.729553, 'lng': -94.6858998}",46.729553,-94.6858998,29
1243,MISSISSIPPI NORTHERN,2018-70176,AYCOCK,HULSER,CONSPIRACY,"TX,WC",D,2018-05-04,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 32.3780664, 'lng': -90.1499271}",32.3780664,-90.1499271,3
1246,MISSISSIPPI SOUTHERN,2016-75001,REEVES,DOWNING,NARCOTICS,WC,D,2016-04-08,30,0,30,INSTALLED AND USED,29,198,328,5756,690,20798,1475,0,0,0,0,0,0,,,11.99,,"{'lat': 31.3300115, 'lng': -89.3340423}",31.330011499999998,-89.3340423,18
1264,MISSOURI EASTERN,2013-75003,ROSS,BLANCO,NARCOTICS,WC,D,2013-08-06,30,1,60,INSTALLED AND USED,60,18,88,1086,857,51466,2592,0,0,0,0,0,0,,,78.91,,"{'lat': 38.4904714, 'lng': -90.701222}",38.4904714,-90.701222,13
1277,MISSOURI WESTERN,2017-77789,BOUGH,MCFADDEN,CONSPIRACY,WC,D,2017-05-12,30,1,60,INSTALLED AND USED,60,144,146,8618,3390,41807,9384,13,0,0,0,0,0,,,39.34,,"{'lat': 39.7598942, 'lng': -94.7845282}",39.759894200000005,-94.7845282,7
1284,NEBRASKA,2018-68871,SMITH CAMP,DOWNING,CONSPIRACY,"TX,WC",D,2018-04-09,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 41.4925374, 'lng': -99.9018131}",41.4925374,-99.9018131,24
1308,NEVADA,2012-75013,HICKS,BROWN,NARCOTICS,WC,D,2012-02-09,30,0,30,INSTALLED AND USED,8,0,0,0,0,21684,1346,0,0,0,0,0,0,,,,,"{'lat': 38.8026097, 'lng': -116.419389}",38.8026097,-116.419389,19
1327,NEW HAMPSHIRE,2017-71335,BARBADORO,HULSER,CONSPIRACY,"TX,WC",D,2017-12-01,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 43.1938516, 'lng': -71.5723953}",43.1938516,-71.5723953,5
1332,NEW JERSEY,2014-75025,CHESLER,BLANCO,NARCOTICS,WC,D,2014-08-19,30,1,60,INSTALLED AND USED,55,0,0,0,0,58100,5200,0,0,0,0,0,0,,,,,"{'lat': 40.0583238, 'lng': -74.4056612}",40.0583238,-74.40566120000001,139
1471,NEW MEXICO,2012-75124,PARKER,HULSER,NARCOTICS,WC,D,2012-11-16,30,0,30,INSTALLED AND USED,29,0,0,0,0,36253,235,0,0,0,0,0,0,,,,,"{'lat': 34.5199402, 'lng': -105.8700901}",34.5199402,-105.87009009999998,40
1511,NEW YORK EASTERN,2011-75014,ROSS,BROWN,NARCOTICS,WC,D,2011-03-07,30,0,30,INSTALLED AND USED,30,228,18,6850,3630,40250,3050,0,0,0,0,0,0,,,52.99,,"{'lat': 40.6970564, 'lng': -73.98949089999999}",40.6970564,-73.98949089999998,21
1532,NEW YORK  NORTHERN,2016-75052,SUDDABY,DOWNING,NARCOTICS,WC,D,2016-02-03,30,1,60,INSTALLED AND USED,53,243,72,12857,4258,70826,5000,0,0,0,0,0,0,,,33.12,,"{'lat': 40.7533827, 'lng': -73.9206793}",40.7533827,-73.92067929999999,19
1551,NEW YORK SOUTHERN,2014-75074,KEENAN,BITKOWER,NARCOTICS,TX,D,2014-06-11,30,1,60,INSTALLED AND USED,60,27,14,1611,676,60320,5000,0,0,0,0,0,0,,,41.96,,"{'lat': 40.713582, 'lng': -74.0010008}",40.713582,-74.00100079999999,225
1776,NEW YORK  WESTERN,2014-75295,ARCARA,BLANCO,NARCOTICS,WC,D,2014-10-14,30,0,30,INSTALLED AND USED,29,101,133,2932,137,37718,1700,0,0,0,0,0,0,,,4.67,,"{'lat': 43.3447295, 'lng': -75.3878525}",43.3447295,-75.38785250000001,4
1780,NORTH CAROLINA EASTERN,2016-77917,DEVER,OBRIEN,NARCOTICS,WC,D,2016-09-23,30,0,30,INSTALLED AND USED,30,24,0,734,584,36492,1528,10,0,0,0,0,1,,,79.56,,"{'lat': 35.5885505, 'lng': -77.3677008}",35.588550500000004,-77.3677008,9
1789,NORTH CAROLINA  MIDDLE,2016-75303,"OSTEEN, JR.",BLANCO,NARCOTICS,WC,D,2016-10-28,30,0,30,INSTALLED AND USED,30,0,0,0,0,30121,775,0,0,0,0,0,0,,,,,"{'lat': 34.7295904, 'lng': -76.9140549}",34.7295904,-76.91405490000001,5
1794,NORTH CAROLINA WESTERN,2016-77720,"CONRAD, JR.",HULSER,MURDER,WC,D,2016-11-10,30,0,30,INSTALLED AND USED,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 35.8257305, 'lng': -82.0407137}",35.8257305,-82.0407137,21
1815,OHIO NORTHERN,2018-68875,HELMICK,SWARTZ,CONSPIRACY,"TX,WC",D,2018-10-31,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 40.766263, 'lng': -83.83250559999999}",40.766263,-83.83250559999998,30
