"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","New York City, NY","1,690,849"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Norfolk, VA","454,616"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","San Francisco, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Savannah, GA","235,302"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Seattle, WA","13,056"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","All Districts","322,072"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","Charleston, SC","24,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","Houston-Galveston, TX","47,600"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","Los Angeles, CA","3,090"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","New York City, NY","164,682"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","Norfolk, VA","41,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","San Francisco, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","January 2019","Savannah, GA","35,500"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","All Districts","416,390"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","Charleston, SC","6,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","Houston-Galveston, TX","39,756"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","Los Angeles, CA","10,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","New York City, NY","294,934"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","February 2019","Savannah, GA","65,700"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","March 2019","All Districts","744,435"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","March 2019","Houston-Galveston, TX","189,300"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","March 2019","New York City, NY","406,435"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","March 2019","Norfolk, VA","96,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","March 2019","Savannah, GA","42,700"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","All Districts","962,778"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","Charleston, SC","32,525"
