"Standard Report - Exports"
"Current date: 07/13/2019 5:44 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Nepal","2016","All Districts","7,909"
"3915 Waste, Parings And Scrap, Of Plastics","Nepal","2016","Savannah, GA","7,909"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","All Districts","870,760"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","Charleston, SC","30,172"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","Houston-Galveston, TX","6,592"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","Los Angeles, CA","20,805"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","New York City, NY","573,629"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","Norfolk, VA","174,462"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","San Francisco, CA","6,935"
"3915 Waste, Parings And Scrap, Of Plastics","Pakistan","2016","Savannah, GA","23,490"
"3915 Waste, Parings And Scrap, Of Plastics","Sri Lanka","2016","All Districts","3,000"
"3915 Waste, Parings And Scrap, Of Plastics","Sri Lanka","2016","New York City, NY","3,000"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","All Districts","549,771,983"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Charleston, SC","43,093,845"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Detroit, MI","100,081"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Houston-Galveston, TX","17,966,687"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Los Angeles, CA","245,186,714"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","New York City, NY","60,248,170"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Norfolk, VA","41,455,828"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","San Francisco, CA","40,309,951"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Savannah, GA","29,704,037"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - Other","2016","Seattle, WA","35,346,073"
"3915 Waste, Parings And Scrap, Of Plastics","Burma","2016","All Districts","19,540"
"3915 Waste, Parings And Scrap, Of Plastics","Burma","2016","Houston-Galveston, TX","19,540"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","All Districts","283,035,161"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Charleston, SC","21,700,932"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Detroit, MI","74,276"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Houston-Galveston, TX","10,814,700"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Los Angeles, CA","121,697,443"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","New York City, NY","28,373,512"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Norfolk, VA","26,618,124"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","San Francisco, CA","21,121,918"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Savannah, GA","15,839,379"
"3915 Waste, Parings And Scrap, Of Plastics","China","2016","Seattle, WA","15,311,640"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","All Districts","213,033,301"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Charleston, SC","18,655,050"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Detroit, MI","18,870"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Houston-Galveston, TX","5,676,704"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Los Angeles, CA","103,184,429"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","New York City, NY","25,285,231"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Norfolk, VA","11,689,174"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","San Francisco, CA","13,912,447"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Savannah, GA","11,534,750"
"3915 Waste, Parings And Scrap, Of Plastics","Hong Kong","2016","Seattle, WA","12,890,411"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","All Districts","10,524,169"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Charleston, SC","49,787"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Houston-Galveston, TX","79,540"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Los Angeles, CA","4,638,332"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","New York City, NY","194,880"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Norfolk, VA","43,021"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","San Francisco, CA","1,422,028"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Savannah, GA","40,675"
"3915 Waste, Parings And Scrap, Of Plastics","Indonesia","2016","Seattle, WA","3,003,906"
"3915 Waste, Parings And Scrap, Of Plastics","Japan","2016","All Districts","990,480"
"3915 Waste, Parings And Scrap, Of Plastics","Japan","2016","Charleston, SC","6,935"
"3915 Waste, Parings And Scrap, Of Plastics","Japan","2016","Los Angeles, CA","98,880"
